Voltage (V),Wavelength (nm),Insertion Loss (dB)
0.000,1545.00,-119.1718
0.000,1545.00,-119.1714
0.000,1545.00,-119.1719
0.000,1545.00,-119.1724
0.000,1545.00,-119.1717
0.000,1545.00,-119.1713
0.000,1545.00,-119.1716
0.000,1545.00,-119.1717
0.000,1545.00,-119.1724
0.000,1545.00,-119.1730
0.000,1545.00,-119.1720
0.000,1545.00,-119.1707
0.000,1545.00,-119.1702
0.000,1545.00,-119.1708
0.000,1545.00,-119.1721
0.000,1545.00,-119.1723
0.000,1545.00,-119.1697
0.000,1545.00,-119.1703
0.000,1545.00,-119.1722
0.000,1545.00,-119.1722
0.000,1545.00,-119.1698
0.000,1545.00,-119.1701
0.000,1545.00,-119.1732
0.000,1545.00,-119.1744
0.000,1545.00,-119.1717
0.000,1545.00,-119.1702
0.000,1545.00,-119.1723
0.000,1545.00,-119.1751
0.000,1545.00,-119.1733
0.000,1545.00,-119.1717
0.000,1545.00,-119.1729
0.000,1545.00,-119.1727
0.000,1545.00,-119.1712
0.000,1545.00,-119.1720
0.000,1545.00,-119.1735
0.000,1545.00,-119.1743
0.000,1545.00,-119.1714
0.000,1545.00,-119.1705
0.000,1545.00,-119.1735
0.000,1545.00,-119.1743
0.000,1545.00,-119.1723
0.000,1545.00,-119.1719
0.000,1545.00,-119.1724
0.000,1545.00,-119.1733
0.000,1545.00,-119.1721
0.000,1545.00,-119.1713
0.000,1545.00,-119.1722
0.000,1545.00,-119.1720
0.000,1545.00,-119.1717
0.000,1545.00,-119.1708
0.000,1545.01,-119.1709
0.000,1545.01,-119.1708
0.000,1545.01,-119.1708
0.000,1545.01,-119.1715
0.000,1545.01,-119.1716
0.000,1545.01,-119.1717
0.000,1545.01,-119.1707
0.000,1545.01,-119.1710
0.000,1545.01,-119.1711
0.000,1545.01,-119.1726
0.000,1545.01,-119.1717
0.000,1545.01,-119.1708
0.000,1545.01,-119.1708
0.000,1545.01,-119.1717
0.000,1545.01,-119.1728
0.000,1545.01,-119.1709
0.000,1545.01,-119.1708
0.000,1545.01,-119.1712
0.000,1545.01,-119.1706
0.000,1545.01,-119.1708
0.000,1545.01,-119.1708
0.000,1545.01,-119.1720
0.000,1545.01,-119.1718
0.000,1545.01,-119.1705
0.000,1545.01,-119.1713
0.000,1545.01,-119.1726
0.000,1545.01,-119.1727
0.000,1545.01,-119.1709
0.000,1545.01,-119.1720
0.000,1545.01,-119.1726
0.000,1545.01,-119.1724
0.000,1545.01,-119.1711
0.000,1545.01,-119.1713
0.000,1545.01,-119.1732
0.000,1545.01,-119.1726
0.000,1545.01,-119.1720
0.000,1545.01,-119.1716
0.000,1545.01,-119.1717
0.000,1545.01,-119.1719
0.000,1545.01,-119.1712
0.000,1545.01,-119.1718
0.000,1545.01,-119.1726
0.000,1545.01,-119.1721
0.000,1545.01,-119.1717
0.000,1545.01,-119.1725
0.000,1545.01,-119.1732
0.000,1545.01,-119.1727
0.000,1545.01,-119.1730
0.000,1545.01,-119.1728
0.000,1545.01,-119.1732
0.000,1545.01,-119.1727
0.000,1545.01,-119.1731
0.000,1545.01,-119.1734
0.000,1545.01,-119.1728
0.000,1545.01,-119.1724
0.000,1545.01,-119.1723
0.000,1545.01,-119.1734
0.000,1545.01,-119.1737
0.000,1545.01,-119.1730
0.000,1545.01,-119.1735
0.000,1545.01,-119.1735
0.000,1545.01,-119.1735
0.000,1545.01,-119.1732
0.000,1545.01,-119.1737
0.000,1545.01,-119.1731
0.000,1545.01,-119.1739
0.000,1545.01,-119.1741
0.000,1545.01,-119.1738
0.000,1545.01,-119.1733
0.000,1545.01,-119.1735
0.000,1545.01,-119.1742
0.000,1545.01,-119.1737
0.000,1545.01,-119.1734
0.000,1545.01,-119.1731
0.000,1545.01,-119.1730
0.000,1545.01,-119.1732
0.000,1545.01,-119.1722
0.000,1545.01,-119.1733
0.000,1545.01,-119.1734
0.000,1545.01,-119.1728
0.000,1545.01,-119.1720
0.000,1545.01,-119.1729
0.000,1545.01,-119.1729
0.000,1545.01,-119.1723
0.000,1545.01,-119.1725
0.000,1545.01,-119.1725
0.000,1545.01,-119.1730
0.000,1545.01,-119.1720
0.000,1545.01,-119.1720
0.000,1545.01,-119.1725
0.000,1545.01,-119.1722
0.000,1545.01,-119.1719
0.000,1545.01,-119.1712
0.000,1545.01,-119.1721
0.000,1545.01,-119.1725
0.000,1545.01,-119.1719
0.000,1545.01,-119.1726
0.000,1545.01,-119.1729
0.000,1545.01,-119.1730
0.000,1545.01,-119.1720
0.000,1545.02,-119.1727
0.000,1545.02,-119.1733
0.000,1545.02,-119.1734
0.000,1545.02,-119.1732
0.000,1545.02,-119.1730
0.000,1545.02,-119.1731
0.000,1545.02,-119.1722
0.000,1545.02,-119.1721
0.000,1545.02,-119.1724
0.000,1545.02,-119.1723
0.000,1545.02,-119.1718
0.000,1545.02,-119.1713
0.000,1545.02,-119.1719
0.000,1545.02,-119.1721
0.000,1545.02,-119.1716
0.000,1545.02,-119.1721
0.000,1545.02,-119.1722
0.000,1545.02,-119.1719
0.000,1545.02,-119.1715
0.000,1545.02,-119.1726
0.000,1545.02,-119.1717
0.000,1545.02,-119.1720
0.000,1545.02,-119.1721
0.000,1545.02,-119.1726
0.000,1545.02,-119.1720
0.000,1545.02,-119.1716
0.000,1545.02,-119.1726
0.000,1545.02,-119.1727
0.000,1545.02,-119.1730
0.000,1545.02,-119.1725
0.000,1545.02,-119.1725
0.000,1545.02,-119.1727
0.000,1545.02,-119.1721
0.000,1545.02,-119.1727
0.000,1545.02,-119.1731
0.000,1545.02,-119.1730
0.000,1545.02,-119.1726
0.000,1545.02,-119.1737
0.000,1545.02,-119.1735
0.000,1545.02,-119.1733
0.000,1545.02,-119.1734
0.000,1545.02,-119.1735
0.000,1545.02,-119.1741
0.000,1545.02,-119.1730
0.000,1545.02,-119.1733
0.000,1545.02,-119.1735
0.000,1545.02,-119.1736
0.000,1545.02,-119.1733
0.000,1545.02,-119.1730
0.000,1545.02,-119.1740
0.000,1545.02,-119.1736
0.000,1545.02,-119.1739
0.000,1545.02,-119.1741
0.000,1545.02,-119.1744
0.000,1545.02,-119.1734
0.000,1545.02,-119.1737
0.000,1545.02,-119.1746
0.000,1545.02,-119.1742
0.000,1545.02,-119.1744
0.000,1545.02,-119.1742
0.000,1545.02,-119.1745
0.000,1545.02,-119.1747
0.000,1545.02,-119.1737
0.000,1545.02,-119.1742
0.000,1545.02,-119.1742
0.000,1545.02,-119.1740
0.000,1545.02,-119.1736
0.000,1545.02,-119.1733
0.000,1545.02,-119.1740
0.000,1545.02,-119.1735
0.000,1545.02,-119.1739
0.000,1545.02,-119.1740
0.000,1545.02,-119.1739
0.000,1545.02,-119.1727
0.000,1545.02,-119.1732
0.000,1545.02,-119.1736
0.000,1545.02,-119.1731
0.000,1545.02,-119.1727
0.000,1545.02,-119.1722
0.000,1545.02,-119.1727
0.000,1545.02,-119.1717
0.000,1545.02,-119.1717
0.000,1545.02,-119.1724
0.000,1545.02,-119.1724
0.000,1545.02,-119.1722
0.000,1545.02,-119.1713
0.000,1545.02,-119.1721
0.000,1545.02,-119.1716
0.000,1545.02,-119.1717
0.000,1545.02,-119.1717
0.000,1545.02,-119.1721
0.000,1545.02,-119.1714
0.000,1545.02,-119.1714
0.000,1545.02,-119.1720
0.000,1545.02,-119.1718
0.000,1545.02,-119.1716
0.000,1545.02,-119.1710
0.000,1545.02,-119.1715
0.000,1545.02,-119.1715
0.000,1545.02,-119.1710
0.000,1545.03,-119.1715
0.000,1545.03,-119.1715
0.000,1545.03,-119.1715
0.000,1545.03,-119.1706
0.000,1545.03,-119.1716
0.000,1545.03,-119.1715
0.000,1545.03,-119.1717
0.000,1545.03,-119.1717
0.000,1545.03,-119.1718
0.000,1545.03,-119.1718
0.000,1545.03,-119.1711
0.000,1545.03,-119.1723
0.000,1545.03,-119.1724
0.000,1545.03,-119.1722
0.000,1545.03,-119.1722
0.000,1545.03,-119.1718
0.000,1545.03,-119.1723
0.000,1545.03,-119.1718
0.000,1545.03,-119.1714
0.000,1545.03,-119.1718
0.000,1545.03,-119.1717
0.000,1545.03,-119.1719
0.000,1545.03,-119.1711
0.000,1545.03,-119.1718
0.000,1545.03,-119.1716
0.000,1545.03,-119.1714
0.000,1545.03,-119.1715
0.000,1545.03,-119.1722
0.000,1545.03,-119.1718
0.000,1545.03,-119.1711
0.000,1545.03,-119.1720
0.000,1545.03,-119.1718
0.000,1545.03,-119.1720
0.000,1545.03,-119.1713
0.000,1545.03,-119.1714
0.000,1545.03,-119.1720
0.000,1545.03,-119.1710
0.000,1545.03,-119.1712
0.000,1545.03,-119.1715
0.000,1545.03,-119.1717
0.000,1545.03,-119.1714
0.000,1545.03,-119.1709
0.000,1545.03,-119.1715
